Brand,Product Name,Category,Original Price (AUD),Resale Price (AUD),Condition,Region,Season Sold,Days on Market,Date Listed
Gucci,Ophidia Tote,Handbags,17652.0,13094.06,Like New,Melbourne,Summer,80,2023-04-04
Rolex,Datejust,Watches,11756.0,7084.58,Excell,Brisbane,Spring,68,2024-09-09
Balenciaga,Hourglass Bag,Handbags,8411.0,7279.97,Very Good,Melbourne,Summer,50,2024-07-06
Dior,Lady Dior,Handbags,14598.0,10657.02,Excell,Adelaide,Spring,130,2023-09-25
Prada,Re-Edition 2005,Handbags,17120.0,10342.45,poor,Perth,Summer,165,2023-12-03
Cartier,Panthère Watch,Jewelry,5217.0,2980.67,Very Good,Brisbane,Autumn,92,2023-06-08
Hermès,Birkin 25,Handbags,17505.0,14155.74,New,Melb,Autumn,33,2023-11-12
Dior,Book Tote,Handbags,11458.0,6386.68,Fair,Melbourne,Autumn,63,2024-05-07
Prada,Galleria,Handbags,13266.0,6223.7,poor,Melbourne,Spring,110,2024-02-03
Rolex,Submariner,Watches,13871.0,5868.98,Very Good,Brisbane,Summer,95,2024-12-04
Prada,Galleria,Handbags,13090.0,6141.13,Excell,Brisbane,Autumn,59,2024-02-18
Rolex,Daytona,Watches,11008.0,5903.37,poor,SYD,Autumn,33,2023-08-26
Hermès,Constance,Handbags,10440.0,4202.84,poor,Melb,Spring,16,2024-05-22
Gucci,Jackie 1961,Handbags,6446.0,2581.86,Unknown,Melbourne,Autumn,165,2024-08-19
Fendi,Baguette Bag,Handbags,16629.0,11293.09,New,Sydney,Winter,40,2024-12-26
Cartier,Love Bracelet,Jewelry,3689.0,2811.68,Unknown,Brisbane,Summer,143,2024-10-04
Fendi,Mon Tresor,Handbags,6726.0,4676.32,Fair,SYD,Winter,122,2023-02-04
Hermès,Kelly 28,Handbags,17889.0,9901.67,poor,SYD,Autumn,4,2024-04-25
Fendi,Mon Tresor,Handbags,6664.0,5194.72,Unknown,Perth,Summer,129,2023-02-16
Louis Vuitton,Neverfull Tote,Handbags,6225.0,3095.77,Fair,Perth,Summer,126,2024-03-05
Louis Vuitton,Neverfull Tote,Handbags,6215.0,4790.18,Good,Melb,Winter,130,2024-04-07
Rolex,Daytona,Watches,11124.0,13906.33,Excell,Adelaide,Winter,51,2023-10-09
Fendi,Mon Tresor,Handbags,6656.0,5700.2,Like New,Melb,Summer,97,2023-07-23
Rolex,Daytona,Watches,11164.0,5882.77,New,Melbourne,Summer,167,2023-04-24
Rolex,Datejust,Watches,11806.0,15123.3,Unknown,Melb,Summer,107,2023-10-08
Cartier,Love Bracelet,Jewelry,3690.0,2105.57,Excell,Adelaide,Summer,23,2024-01-19
Hermès,Kelly 28,Handbags,17821.0,15984.77,Fair,Adelaide,Summer,12,2023-07-02
Louis Vuitton,Capucines,Handbags,13050.0,10513.52,Good,Melb,Summer,115,2024-02-21
Louis Vuitton,Alma BB,Handbags,5296.0,2576.32,Excell,Melb,Summer,47,2024-08-06
Cartier,Trinity Ring,Jewelry,7131.0,4137.02,Excell,Perth,Winter,111,2024-05-24
Gucci,Marmont Mini,Handbags,10949.0,8348.02,Good,unknown,Winter,42,2023-01-25
Gucci,Jackie 1961,Handbags,6524.0,3460.95,,Sydney,Winter,104,2024-05-14
Balenciaga,Hourglass Bag,Handbags,8401.0,4308.73,Unknown,Brisbane,Summer,85,2023-10-20
Hermès,Birkin 25,Handbags,17442.0,15556.97,poor,Perth,Winter,17,2024-10-21
Chanel,Gabrielle Hobo,Handbags,2220.0,1600.28,Like New,Perth,Summer,133,2023-04-20
Fendi,Mon Tresor,Handbags,6705.0,4707.47,Excell,Perth,Spring,23,2023-04-21
Chanel,Coco Handle,Handbags,8016.0,6969.54,Excell,Adelaide,Autumn,102,2023-04-05
Dior,Lady Dior,Handbags,14471.0,11075.61,Unknown,unknown,Autumn,36,2023-10-31
Louis Vuitton,Capucines,Handbags,13063.0,9244.61,Very Good,Perth,Autumn,122,2023-02-15
Louis Vuitton,Alma BB,Handbags,5166.0,3357.78,Very Good,unknown,Summer,50,2023-03-10
Chanel,Boy Bag,Handbags,4496.0,3064.76,Like New,Melbourne,Summer,57,2023-07-06
Prada,Re-Edition 2005,Handbags,17011.0,7240.33,poor,Sydney,Spring,117,2023-04-14
Balenciaga,Neo Classic,Handbags,13440.0,7560.38,Unknown,Adelaide,Winter,98,2024-04-05
Balenciaga,Hourglass Bag,Handbags,8353.0,7474.86,Excell,Brisbane,Summer,137,2023-01-24
Prada,Re-Edition 2005,Handbags,17135.0,12697.41,poor,Adelaide,Summer,102,2023-10-08
Hermès,Evelyne III,Handbags,15051.0,7895.58,,Brisbane,Spring,155,2024-04-07
Chanel,Gabrielle Hobo,Handbags,2232.0,1417.5,Unknown,Melb,Autumn,73,2024-06-30
Hermès,Evelyne III,Handbags,14966.0,10791.24,Very Good,unknown,Summer,36,2024-12-02
Cartier,Trinity Ring,Jewelry,7067.0,4046.98,Excell,Sydney,Summer,166,2024-11-04
Chanel,Classic Flap Bag,Handbags,4907.0,2317.04,Excell,Perth,Winter,57,2024-12-15
Dior,Book Tote,Handbags,11444.0,7083.07,New,Melbourne,Summer,140,2024-09-12
Rolex,Daytona,Watches,11108.0,8468.29,Fair,SYD,Spring,52,2024-04-01
Gucci,Jackie 1961,Handbags,6515.0,4786.44,Good,Melbourne,Autumn,134,2024-07-16
Cartier,Tank Watch,Jewelry,12110.0,9321.07,poor,Melb,Summer,128,2024-10-23
Gucci,Marmont Mini,Handbags,10800.0,15073.32,New,Adelaide,Summer,76,2023-06-30
Louis Vuitton,Capucines,Handbags,13031.0,8064.74,Very Good,Brisbane,Spring,142,2023-12-25
Dior,Lady Dior,Handbags,14543.0,9024.89,Unknown,Perth,Spring,73,2024-07-19
Cartier,Panthère Watch,Jewelry,5113.0,2275.06,Like New,Melb,Summer,12,2023-02-23
Balenciaga,Neo Classic,Handbags,13324.0,5494.06,Good,SYD,Summer,116,2023-12-10
Chanel,Classic Flap Bag,Handbags,4997.0,2374.75,poor,Adelaide,Autumn,38,2024-03-25
Gucci,Ophidia Tote,Handbags,17706.0,13958.82,Fair,SYD,Spring,157,2024-06-19
Gucci,Dionysus,Handbags,7520.0,5344.38,Like New,Melb,Autumn,90,2024-10-04
Dior,Book Tote,Handbags,11515.0,8354.35,New,Melbourne,Winter,100,2024-02-16
Balenciaga,Hourglass Bag,Handbags,8417.0,7270.45,Excell,Perth,Spring,11,2024-04-16
Cartier,Love Bracelet,Jewelry,3846.0,1996.49,Good,Melbourne,Autumn,1,2024-08-04
Prada,Re-Edition 2005,Handbags,16999.0,8214.62,Good,Brisbane,Winter,1,2023-10-04
Rolex,Submariner,Watches,13838.0,5549.34,poor,Sydney,Spring,29,2024-01-20
Dior,Lady Dior,Handbags,14480.0,7606.21,Very Good,Adelaide,Autumn,7,2023-09-02
Cartier,Love Bracelet,Jewelry,3754.0,2767.39,Very Good,Brisbane,Winter,83,2024-08-29
Louis Vuitton,Speedy 30,Handbags,3797.0,4842.1,poor,Sydney,Winter,107,2023-06-19
Dior,Dior Caro,Handbags,19899.0,9871.29,New,Brisbane,Winter,73,2023-09-07
Chanel,Coco Handle,Handbags,7950.0,6765.42,New,Sydney,Autumn,129,2024-09-14
Balenciaga,City Bag,Handbags,17550.0,12442.37,poor,Adelaide,Summer,85,2023-09-14
Hermès,Birkin 25,Handbags,17445.0,15031.42,Very Good,SYD,Spring,48,2024-02-24
Cartier,Love Bracelet,Jewelry,3710.0,2432.63,Excell,Brisbane,Winter,16,2024-10-15
Prada,Cleo Shoulder Bag,Handbags,16626.0,13499.56,Very Good,Melb,Summer,7,2023-12-17
Rolex,Explorer,Watches,5739.0,2698.09,Unknown,Perth,Spring,49,2024-02-09
Gucci,Ophidia Tote,Handbags,17770.0,12369.58,Good,SYD,Summer,23,2023-02-26
Hermès,Birkin 25,Handbags,17456.0,9093.88,Unknown,Perth,Winter,101,2024-07-25
Fendi,Peekaboo,Handbags,10966.0,7666.31,Unknown,SYD,Autumn,58,2024-11-14
Louis Vuitton,Alma BB,Handbags,5233.0,2525.97,Unknown,Sydney,Spring,12,2023-11-11
Fendi,Baguette Bag,Handbags,16584.0,13448.27,Unknown,Melbourne,Summer,127,2024-03-25
Rolex,Explorer,Watches,5561.0,4297.35,Like New,Brisbane,Spring,27,2024-08-29
Prada,Galleria,Handbags,13178.0,11654.83,Excell,Perth,Autumn,32,2023-09-05
Prada,Double Tote,Handbags,17584.0,14536.95,Good,Adelaide,Autumn,108,2024-06-20
Hermès,Kelly 28,Handbags,17917.0,12687.1,poor,Sydney,Autumn,52,2023-12-05
Hermès,Birkin 25,Handbags,17425.0,13346.66,New,Melb,Winter,71,2023-05-07
Balenciaga,City Bag,Handbags,17640.0,15247.68,Good,Brisbane,Autumn,33,2023-04-30
Prada,Cleo Shoulder Bag,Handbags,16506.0,11194.22,Good,Brisbane,Summer,7,2023-01-23
Balenciaga,Neo Classic,Handbags,13366.0,11241.82,poor,Brisbane,Summer,62,2023-09-12
Gucci,Jackie 1961,Handbags,6488.0,3290.21,New,Melb,Spring,179,2024-04-22
Dior,Dior Caro,Handbags,19801.0,8092.55,Fair,Brisbane,Autumn,127,2023-05-28
Balenciaga,Neo Classic,Handbags,13306.0,7767.12,Good,Brisbane,Summer,130,2023-12-21
Balenciaga,Neo Classic,Handbags,13469.0,9336.9,Excell,Adelaide,Winter,63,2023-08-11
Prada,Cleo Shoulder Bag,Handbags,16660.0,13602.34,Fair,Brisbane,Winter,82,2023-03-27
Prada,Re-Edition 2005,Handbags,17017.0,14239.77,Good,Sydney,Autumn,50,2024-12-23
Hermès,Evelyne III,Handbags,14904.0,10502.71,Like New,SYD,Spring,95,2024-01-27
Louis Vuitton,Neverfull Tote,Handbags,6292.0,3757.39,poor,Sydney,Autumn,145,2024-07-31
Balenciaga,Le Cagole,Handbags,10758.0,9642.73,Unknown,SYD,Spring,116,2023-12-10
Fendi,Peekaboo,Handbags,10891.0,8133.65,New,Melbourne,Autumn,74,2024-11-14
Dior,Dior Caro,Handbags,19772.0,15431.61,Fair,unknown,Spring,18,2023-04-11
Louis Vuitton,Speedy 30,Handbags,3731.0,2973.06,Very Good,Melbourne,Spring,138,2024-12-05
Balenciaga,Hourglass Bag,Handbags,8298.0,6611.1,New,Melb,Summer,101,2023-11-08
Louis Vuitton,Capucines,Handbags,13027.0,7265.78,Very Good,unknown,Summer,127,2024-09-09
Hermès,Birkin 25,Handbags,17464.0,12890.53,poor,Melb,Summer,17,2024-09-30
Hermès,Evelyne III,Handbags,15023.0,7848.13,Unknown,Melbourne,Autumn,141,2023-02-06
Gucci,Jackie 1961,Handbags,6492.0,4610.33,Very Good,Adelaide,Winter,94,2023-04-04
Cartier,Love Bracelet,Jewelry,3763.0,2649.97,New,Perth,Summer,168,2023-08-05
Dior,Saddle Bag,Handbags,7147.0,3606.05,Good,Brisbane,Summer,112,2024-08-24
Rolex,Submariner,Watches,13919.0,5982.5,poor,Adelaide,Spring,73,2024-09-19
Louis Vuitton,Alma BB,Handbags,5237.0,4002.14,Fair,Melbourne,Winter,125,2023-07-17
Prada,Cleo Shoulder Bag,Handbags,16547.0,7143.5,Very Good,Melbourne,Autumn,176,2023-12-02
Rolex,Datejust,Watches,11829.0,5773.57,Excell,Adelaide,Summer,163,2023-06-20
Dior,Lady Dior,Handbags,14445.0,20438.63,Unknown,Melb,Autumn,140,2024-07-18
Rolex,Explorer,Watches,5696.0,3572.56,Unknown,unknown,Autumn,64,2024-03-22
Gucci,Dionysus,Handbags,7517.0,8274.2,Unknown,Melbourne,Spring,116,2024-06-07
Rolex,Submariner,Watches,13767.0,8506.2,Good,Adelaide,Summer,111,2024-05-14
Prada,Cleo Shoulder Bag,Handbags,16499.0,14162.71,New,Sydney,Summer,113,2023-08-30
Rolex,Datejust,Watches,11745.0,6733.91,Good,Adelaide,Summer,31,2023-01-29
Prada,Cleo Shoulder Bag,Handbags,16657.0,14771.85,Excell,Perth,Spring,118,2023-12-12
Louis Vuitton,Speedy 30,Handbags,3763.0,2432.79,Excell,SYD,Summer,59,2023-05-12
Louis Vuitton,Capucines,Handbags,13057.0,6221.29,poor,Perth,Autumn,131,2023-01-13
Rolex,Submariner,Watches,13913.0,8042.33,New,Adelaide,Summer,48,2024-02-27
Fendi,Mon Tresor,Handbags,6657.0,3690.83,Excell,Brisbane,Summer,20,2024-02-16
Prada,Double Tote,Handbags,17644.0,15259.66,poor,Melb,Summer,158,2024-08-12
Louis Vuitton,Speedy 30,Handbags,3865.0,2822.74,New,Perth,Summer,14,2023-02-06
Fendi,Peekaboo,Handbags,11046.0,8125.22,poor,unknown,Spring,108,2023-01-03
Cartier,Tank Watch,Jewelry,12072.0,9351.12,Fair,Brisbane,Summer,51,2023-07-17
Rolex,Submariner,Watches,13831.0,11678.79,poor,SYD,Winter,161,2023-12-16
Chanel,Boy Bag,Handbags,,3479.83,poor,Melbourne,Summer,163,2024-06-14
Balenciaga,Le Cagole,Handbags,10707.0,6521.26,Fair,SYD,Summer,145,2023-01-24
Balenciaga,Hourglass Bag,Handbags,8475.0,4909.68,Excell,Perth,Winter,69,2023-08-30
Louis Vuitton,Neverfull Tote,Handbags,6164.0,5193.38,poor,Melb,Autumn,149,2023-11-27
Fendi,Baguette Bag,Handbags,16619.0,8299.18,Fair,Melb,Winter,24,2024-05-18
Cartier,Tank Watch,Jewelry,12078.0,7329.85,Good,Perth,Autumn,163,2024-07-17
Prada,Galleria,Handbags,13218.0,8631.78,poor,Brisbane,Spring,120,2023-05-22
Gucci,Dionysus,Handbags,7519.0,3972.58,Very Good,Adelaide,Summer,155,2023-11-11
Louis Vuitton,Neverfull Tote,Handbags,6152.0,4924.75,Like New,Melb,Winter,116,2024-01-07
Prada,Double Tote,Handbags,17746.0,10100.68,Like New,Brisbane,Winter,96,2024-08-12
Rolex,Explorer,Watches,5740.0,4572.6,Good,SYD,Winter,12,2023-02-08
Balenciaga,Hourglass Bag,Handbags,8359.0,6294.72,Good,SYD,Spring,178,2024-11-17
Fendi,Mon Tresor,Handbags,6607.0,3031.33,poor,Melbourne,Spring,20,2024-09-20
Prada,Galleria,Handbags,13092.0,15884.81,Very Good,Brisbane,Autumn,78,2024-02-13
Cartier,Love Bracelet,Jewelry,3798.0,2814.87,Very Good,SYD,Spring,172,2023-05-20
Dior,Saddle Bag,Handbags,7086.0,3230.03,Very Good,Adelaide,Summer,153,2024-12-01
Gucci,Jackie 1961,Handbags,6406.0,2646.32,Very Good,Sydney,Summer,163,2024-03-24
Gucci,Ophidia Tote,Handbags,17762.0,12133.56,Like New,Melbourne,Spring,147,2023-06-28
Cartier,Trinity Ring,Jewelry,7043.0,3561.23,Very Good,Melbourne,Winter,104,2023-02-05
Prada,Re-Edition 2005,Handbags,16978.0,12028.26,poor,Brisbane,Winter,106,2023-06-20
Chanel,Boy Bag,Handbags,4329.0,2823.92,Very Good,Melbourne,Spring,47,2024-02-15
Dior,Lady Dior,Handbags,14422.0,6851.36,Like New,SYD,Summer,13,2023-09-03
Fendi,Mon Tresor,Handbags,6693.0,3822.7,poor,SYD,Summer,56,2024-03-23
Dior,Saddle Bag,Handbags,7136.0,4142.96,Good,Melbourne,Spring,76,2024-06-10
Chanel,Coco Handle,Handbags,8017.0,4916.5,Good,Melb,Spring,146,2023-01-04
Balenciaga,Neo Classic,Handbags,13348.0,7793.85,poor,Melb,Spring,136,2024-08-06
Chanel,Coco Handle,Handbags,8005.0,3618.05,Fair,Melbourne,Spring,56,2023-06-15
Fendi,Baguette Bag,Handbags,16759.0,20082.15,Fair,SYD,Summer,80,2024-03-05
Gucci,Jackie 1961,Handbags,6462.0,4957.25,Excell,Adelaide,Summer,72,2024-10-07
Gucci,Ophidia Tote,Handbags,17788.0,10568.21,Like New,Melbourne,Winter,152,2023-08-09
Rolex,Explorer,Watches,5689.0,5042.1,Good,SYD,Summer,57,2024-01-28
Dior,Lady Dior,Handbags,14442.0,8815.19,New,Melb,Autumn,123,2023-01-17
Prada,Re-Edition 2005,Handbags,17012.0,9294.15,Very Good,Brisbane,Summer,125,2023-08-04
Chanel,Boy Bag,Handbags,4509.0,2450.79,Good,Brisbane,Summer,114,2024-04-10
Chanel,Boy Bag,Handbags,4485.0,2918.39,Fair,Adelaide,Summer,45,2024-07-06
Fendi,Baguette Bag,Handbags,16596.0,7931.53,Very Good,unknown,Summer,172,2023-03-25
Louis Vuitton,Alma BB,Handbags,5263.0,2845.08,New,Melbourne,Summer,124,2024-08-09
Gucci,Dionysus,Handbags,7579.0,5127.23,Excell,Sydney,Spring,24,2024-11-22
Louis Vuitton,Capucines,Handbags,12905.0,10934.35,Fair,Melbourne,Autumn,19,2024-09-18
Prada,Double Tote,Handbags,17675.0,9835.05,Good,Melbourne,Autumn,59,2024-04-03
Chanel,Gabrielle Hobo,Handbags,2157.0,1001.23,Fair,Adelaide,Summer,69,2024-02-08
Gucci,Marmont Mini,Handbags,10935.0,6297.02,Good,unknown,Spring,140,2024-07-04
Gucci,Jackie 1961,Handbags,6508.0,5595.03,Excell,SYD,Autumn,166,2024-07-02
Dior,Book Tote,Handbags,11426.0,9581.62,Like New,Brisbane,Autumn,103,2023-01-01
Balenciaga,Neo Classic,Handbags,13417.0,10733.89,Fair,Perth,Spring,28,2023-04-10
Louis Vuitton,Capucines,Handbags,12925.0,9104.89,New,Melbourne,Winter,64,2024-08-16
Dior,Lady Dior,Handbags,14474.0,9103.14,Unknown,Adelaide,Winter,32,2023-08-09
Gucci,Ophidia Tote,Handbags,17831.0,13513.75,Excell,Perth,Winter,79,2024-08-10
Dior,Lady Dior,Handbags,14493.0,17888.94,Like New,Melbourne,Autumn,100,2024-08-22
Cartier,Trinity Ring,Jewelry,7007.0,3759.12,poor,Melb,Spring,157,2023-05-30
Chanel,Gabrielle Hobo,Handbags,2143.0,912.13,poor,Perth,Summer,161,2024-07-02
Dior,Dior Caro,Handbags,19791.0,8654.71,Very Good,Adelaide,Winter,71,2024-12-12
Fendi,Peekaboo,Handbags,10924.0,8748.09,Fair,Melb,Autumn,118,2023-03-31
Hermès,Birkin 25,Handbags,17411.0,13995.49,Excell,unknown,Summer,52,2023-08-24
Balenciaga,Neo Classic,Handbags,13310.0,10135.52,Like New,Adelaide,Spring,49,2023-07-01
Balenciaga,City Bag,Handbags,17633.0,14510.79,Excell,Perth,Spring,15,2023-05-10
Fendi,Baguette Bag,Handbags,16739.0,14855.27,Very Good,Sydney,Spring,127,2024-09-15
Fendi,Peekaboo,Handbags,10992.0,7126.76,Unknown,Melbourne,Spring,164,2023-11-21
Gucci,Marmont Mini,Handbags,10866.0,9448.5,Unknown,Melbourne,Summer,2,2023-04-22
Balenciaga,Neo Classic,Handbags,13459.0,7463.13,Excell,Melb,Summer,36,2024-08-07
Rolex,Submariner,Watches,13821.0,7011.54,Fair,unknown,Spring,36,2024-07-04
Prada,Cleo Shoulder Bag,Handbags,16527.0,14026.64,Like New,Adelaide,Spring,105,2024-12-14
Prada,Double Tote,Handbags,17688.0,14539.33,New,Brisbane,Autumn,112,2024-08-25
Prada,Cleo Shoulder Bag,Handbags,16626.0,14411.87,Fair,Melbourne,Summer,79,2024-09-03
Gucci,Marmont Mini,Handbags,10863.0,6121.27,poor,Melbourne,Summer,51,2024-10-14
Balenciaga,Neo Classic,Handbags,13454.0,11009.13,Like New,Sydney,Spring,134,2023-03-15
Rolex,Daytona,Watches,11014.0,8392.12,New,Perth,Summer,132,2024-05-18
Dior,Saddle Bag,Handbags,7104.0,5850.65,Excell,Melbourne,Spring,164,2023-03-21
Gucci,Jackie 1961,Handbags,6396.0,4703.66,Very Good,unknown,Autumn,48,2024-06-07
Dior,Dior Caro,Handbags,19863.0,15016.81,poor,Melbourne,Autumn,42,2023-03-13
Prada,Cleo Shoulder Bag,Handbags,16609.0,7248.23,poor,Melb,Winter,113,2024-01-16
Dior,Dior Caro,Handbags,19880.0,11997.27,Very Good,Melb,Autumn,23,2023-04-29
Cartier,Panthère Watch,Jewelry,5190.0,4527.68,poor,unknown,Winter,177,2024-12-19
Chanel,Gabrielle Hobo,Handbags,2176.0,1193.34,Very Good,Perth,Winter,154,2024-01-26
Gucci,Jackie 1961,Handbags,6514.0,5076.02,Good,Adelaide,Spring,149,2023-12-03
Hermès,Evelyne III,Handbags,14929.0,10513.39,Excell,Sydney,Autumn,45,2023-11-22
Dior,Dior Caro,Handbags,19901.0,15456.45,Fair,SYD,Autumn,126,2023-01-08
Fendi,Baguette Bag,Handbags,16600.0,11685.02,Unknown,Melb,Autumn,76,2023-04-17
Hermès,Constance,Handbags,10433.0,4328.07,Like New,Melbourne,Autumn,151,2023-03-25
Louis Vuitton,Alma BB,Handbags,5153.0,3519.0,Like New,Brisbane,Autumn,118,2023-05-11
Dior,Dior Caro,Handbags,19859.0,8290.39,poor,Adelaide,Winter,127,2024-10-08
Gucci,Ophidia Tote,Handbags,17799.0,15676.31,Excell,Perth,Winter,1,2024-03-16
Balenciaga,Le Cagole,Handbags,10743.0,5429.08,Excell,Adelaide,Summer,136,2023-11-15
Balenciaga,City Bag,Handbags,17525.0,8396.78,New,Perth,Spring,69,2024-04-21
Hermès,Evelyne III,Handbags,15022.0,6052.03,Fair,Adelaide,Winter,29,2024-07-25
Cartier,Panthère Watch,Jewelry,5132.0,3038.81,Excell,Melbourne,Spring,137,2023-10-22
Dior,Dior Caro,Handbags,19825.0,14453.09,Like New,SYD,Summer,8,2023-08-22
Hermès,Constance,Handbags,10458.0,5277.31,poor,Melb,Spring,160,2023-01-05
Dior,Saddle Bag,Handbags,,3690.14,poor,Sydney,Spring,131,2024-01-29
Hermès,Birkin 25,Handbags,17518.0,7945.58,Like New,SYD,Winter,159,2023-08-20
Hermès,Birkin 25,Handbags,17401.0,15144.2,Like New,Melb,Spring,40,2024-01-09
Gucci,Dionysus,Handbags,7505.0,5171.79,New,Sydney,Winter,103,2024-03-11
Chanel,Classic Flap Bag,Handbags,5094.0,3770.36,New,Perth,Autumn,172,2023-08-21
Balenciaga,Le Cagole,Handbags,10823.0,6802.12,Unknown,Brisbane,Winter,157,2023-03-07
Prada,Galleria,Handbags,13180.0,9529.13,New,Brisbane,Spring,125,2024-12-08
Chanel,Boy Bag,Handbags,4455.0,2889.63,Excell,Melb,Summer,149,2024-03-12
Gucci,Ophidia Tote,Handbags,17810.0,23762.21,New,Brisbane,Spring,29,2023-03-12
Chanel,Classic Flap Bag,Handbags,4969.0,2207.65,Very Good,SYD,Spring,80,2023-10-30
Dior,Saddle Bag,Handbags,7026.0,5130.51,Like New,SYD,Summer,170,2023-07-07
Chanel,Gabrielle Hobo,Handbags,2258.0,1079.91,poor,Brisbane,Winter,46,2023-12-29
Prada,Cleo Shoulder Bag,Handbags,16532.0,12022.55,poor,Sydney,Summer,132,2024-06-06
Louis Vuitton,Alma BB,Handbags,5154.0,4005.36,Very Good,unknown,Winter,156,2023-12-20
Cartier,Love Bracelet,Jewelry,3839.0,2332.35,Unknown,Brisbane,Autumn,88,2024-04-16
Fendi,Peekaboo,Handbags,10896.0,6715.56,Unknown,Sydney,Winter,165,2024-02-11
Louis Vuitton,Speedy 30,Handbags,3760.0,1858.94,poor,Sydney,Winter,48,2023-10-08
Gucci,Marmont Mini,Handbags,10813.0,4423.02,Like New,Sydney,Summer,65,2024-10-21
Fendi,Peekaboo,Handbags,11039.0,5520.98,poor,Perth,Summer,95,2023-08-01
Louis Vuitton,Capucines,Handbags,12946.0,9784.71,Like New,Melbourne,Spring,11,2024-06-20
Fendi,Baguette Bag,Handbags,16755.0,11343.49,Fair,unknown,Autumn,102,2023-11-26
Chanel,Coco Handle,Handbags,7963.0,10937.58,New,Sydney,Spring,34,2024-06-07
Hermès,Birkin 25,Handbags,17406.0,11619.91,poor,unknown,Spring,134,2023-06-15
Balenciaga,Hourglass Bag,Handbags,8358.0,6763.29,Excell,Sydney,Autumn,18,2024-02-01
Hermès,Constance,Handbags,10429.0,6080.02,Excell,Perth,Autumn,9,2024-04-28
Gucci,Ophidia Tote,Handbags,17844.0,12990.75,Unknown,Melbourne,Spring,113,2024-06-16
Chanel,Classic Flap Bag,Handbags,4929.0,3191.87,Very Good,Perth,Winter,95,2024-03-31
Dior,Saddle Bag,Handbags,7197.0,5367.88,Good,Melbourne,Spring,102,2024-04-28
Hermès,Kelly 28,Handbags,17903.0,15110.75,Fair,Adelaide,Summer,43,2024-03-08
Prada,Cleo Shoulder Bag,Handbags,16664.0,10195.78,Excell,Perth,Spring,21,2024-03-04
Chanel,Classic Flap Bag,Handbags,4934.0,2599.14,Fair,Melb,Summer,43,2024-07-31
Gucci,Marmont Mini,Handbags,,9137.68,Good,Perth,Spring,25,2024-12-16
Fendi,Peekaboo,Handbags,10944.0,7595.01,Excell,Sydney,Spring,14,2023-06-24
Louis Vuitton,Speedy 30,Handbags,3928.0,2936.67,Very Good,Sydney,Spring,128,2024-03-20
Chanel,Coco Handle,Handbags,8042.0,6771.84,Good,Brisbane,Winter,47,2024-02-28
Louis Vuitton,Alma BB,Handbags,5147.0,4301.22,Excell,Melb,Spring,26,2024-02-02
Fendi,Sunshine Shopper,Handbags,13357.0,17246.59,Excell,unknown,Summer,81,2023-02-12
Prada,Double Tote,Handbags,17635.0,10551.74,Very Good,Brisbane,Winter,149,2024-08-08
Chanel,Boy Bag,Handbags,4482.0,1809.56,Like New,Adelaide,Winter,119,2024-08-21
Louis Vuitton,Speedy 30,Handbags,3865.0,3238.32,Fair,Perth,Spring,90,2024-10-15
Cartier,Trinity Ring,Jewelry,7101.0,3360.27,New,Perth,Summer,86,2023-10-08
Louis Vuitton,Alma BB,Handbags,5150.0,7720.86,New,Perth,Winter,97,2024-05-14
Hermès,Evelyne III,Handbags,,10738.87,Very Good,Adelaide,Autumn,74,2024-08-10
Cartier,Trinity Ring,Jewelry,7037.0,5547.14,Unknown,Adelaide,Autumn,83,2024-12-24
Rolex,Explorer,Watches,5643.0,4708.64,,Melbourne,Winter,63,2024-12-24
Hermès,Constance,Handbags,10470.0,8081.27,New,Brisbane,Spring,53,2023-01-03
Dior,Lady Dior,Handbags,14435.0,7452.7,New,Brisbane,Autumn,49,2024-11-01
Cartier,Love Bracelet,Jewelry,3794.0,2275.46,New,SYD,Autumn,59,2023-03-18
Cartier,Love Bracelet,Jewelry,3859.0,2091.78,Good,Perth,Spring,49,2023-01-09
Fendi,Mon Tresor,Handbags,6603.0,3375.72,Fair,unknown,Winter,175,2023-01-13
Fendi,Sunshine Shopper,Handbags,13352.0,8497.09,Excell,unknown,Winter,105,2023-10-03
Hermès,Birkin 25,Handbags,17433.0,9926.34,Very Good,Melb,Autumn,156,2023-06-27
Balenciaga,Hourglass Bag,Handbags,8303.0,4060.18,poor,Melbourne,Winter,149,2023-11-16
Prada,Galleria,Handbags,13074.0,10038.41,Excell,Sydney,Winter,162,2024-07-20
Cartier,Tank Watch,Jewelry,12194.0,10356.22,Fair,SYD,Summer,170,2024-09-14
Fendi,Peekaboo,Handbags,10986.0,9263.61,Good,unknown,Autumn,27,2024-04-10
Rolex,Explorer,Watches,5621.0,2384.77,Good,Melb,Autumn,166,2023-11-08
Cartier,Panthère Watch,Jewelry,5111.0,3305.59,Like New,unknown,Spring,45,2023-02-09
Gucci,Marmont Mini,Handbags,10844.0,6866.41,New,Melb,Summer,99,2024-10-02
Dior,Saddle Bag,Handbags,7014.0,5919.69,Fair,unknown,Spring,6,2023-11-01
Cartier,Love Bracelet,Jewelry,3801.0,3171.05,Excell,Perth,Summer,51,2023-08-25
Fendi,Mon Tresor,Handbags,6624.0,3645.74,New,SYD,Autumn,121,2024-09-25
Chanel,Gabrielle Hobo,Handbags,2151.0,1340.84,Unknown,Adelaide,Winter,96,2024-03-09
